talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
focus-on-ctdna::lu::5,Focus on ctDNA,"Unlocking endocrine resistance, co-targeting KAT6 and ER with bifetostat and fulvestrant",Li Lu,not specified,industry_presenter,breast cancer,phase_1,epigenetics; targeted_therapy; ctDNA; combination_therapy; clinical_trial,first_in_class,"Bifetostat inhibits KAT6A/B, shifting the tumor transcriptome toward tumor suppressor programs (e.g., FOXP3, ING4) and away from cell cycle genes (TK1, CYCB1). Combining this with fulvestrant blocks both epigenetic and ER signaling, leading to robust clearance of ESR1 variants associated with endocrine resistance.","Bifetostat 5mg + fulvestrant is the recommended dose for Phase 3 based on superior ctDNA clearance and gene expression changes. | Early ctDNA clearance (within 9 weeks) strongly correlates with clinical response (PR and SD). | Patients with undetectable ctDNA at 9 weeks had a significantly longer median PFS (21.9 vs 5.3 months). | The combination effectively clears ESR1 mutations (63% clearance rate), which are key drivers of endocrine resistance.",2,3,1,median_PFS,21.9 months,not specified,ctDNA negative at 9 weeks
focus-on-ctdna::kar::6,Focus on ctDNA,ctDNA Clearance as a Prognostic Biomarker in Extensive Stage Small Cell Lung Cancer: Insights from the LUMINOUS Phase 3B Study,Gozde Kar,not specified,academic_pi,small cell lung cancer,phase_3,immunotherapy; ctDNA; biomarker_development; clinical_trial,clinical_validation_of_known,The study used a tumor-agnostic methylation-based assay to monitor ctDNA in ES-SCLC patients treated with durvalumab and platinum-etoposide. The results show that the pattern of ctDNA clearance (sustained vs late vs never) is a powerful prognostic indicator of OS and PFS.,"Sustained ctDNA clearance was associated with the best outcomes (median PFS 19.3 months vs 6.2 months for non-clearers). | ctDNA re-emergence occurred 55 days before clinical progression in one representative case. | 100% of sustained clearance patients were alive at 12 months, compared to 36% of never-clearers. | The methylation-based assay is viable for SCLC due to the high shedding nature of the tumor. | ctDNA dynamics aligned closely with longitudinal RECIST assessments.",1,4,1,median_OS,not reached,not specified,ctDNA clearance group
foundation-models-and-multimodal-ai-for-cancer-research::bonner::1,foundation-models-and-multimodal-ai-for-cancer-research,Virtual patients with multimodal foundation models and agents,Charlotte Bonner,"EPFL, Computer Science and Life Science, AI Center, Cancer Research Institute",session_chair_with_data,,unspecified,AI_ML; platform_technology; other,platform_technology,"Developed multimodal foundation models that jointly encode histopathology RGB images and spatial proteomics protein panels into a shared representation, enabling virtual patient profiling, in silico treatment forecasting, and AI‑derived biomarker discovery through early‑fusion transformer architectures and reinforcement‑learning‑based sequential acquisition (EchoK).","Trained the first multimodal foundation model on 5,003 patients (4,605 publicly released) with paired H&E and spatial proteomics data across 8 cancer types. | Demonstrated that the model can virtually stain unmeasured proteins and predict optimal protein panels, achieving comparable performance to specialized single‑modality models. | Showed that model‑derived signatures stratify responders vs non‑responders in a triple‑negative breast cancer immunotherapy cohort better than existing clinical biomarkers. | Implemented EchoK, a reinforcement‑learning sequential acquisition system that selects a minimal set of proteomic markers (as few as 8) while preserving cell‑typing accuracy.",0,0,0,,,,
foundation-models-and-multimodal-ai-for-cancer-research::levy::2,foundation-models-and-multimodal-ai-for-cancer-research,Generative image models and visual question answering for disease dynamics,Serena Yeung Levy,"Stanford, Department of Biomedical Data Science",academic_pi,,unspecified,AI_ML; generative_models; other,platform_technology,"Introduced CellFlux, a flow‑matching based generative framework that learns a continuous velocity field to transform distributions of control cell images into perturbed cell images, and described scaling of the model to >11 M images, joint imaging‑transcriptomics latent representations, and the MicroVQA benchmark for multimodal scientific visual question answering.","CellFlux trained on 300 k images achieved higher image‑generation quality than prior baselines; scaling to 11.6 M images further improved performance. | Demonstrated that flow‑matching in latent space (CellFlux v2) enables realistic perturbation simulations and visualizes transformation trajectories. | Created MicroVQA, a benchmark of >1 000 expert‑curated microscopy questions covering higher‑order Bloom’s taxonomy, revealing gaps in current vision‑language models. | Showed that large multimodal LLMs (e.g., Gemini 3 Pro) achieve state‑of‑the‑art scores on MicroVQA but still struggle with fine‑grained visual reasoning.",0,0,0,,,,
foundation-models-and-multimodal-ai-for-cancer-research::moore::3,foundation-models-and-multimodal-ai-for-cancer-research,"Reliable medical AI agents that plan, evaluate, and verify reasoning",Michael Moore,"ETH Zurich, Assistant Professor of Medical AI",academic_pi,,unspecified,AI_ML; agentic_systems; other,platform_technology,"Proposed a framework for medical AI agents that integrate structured knowledge atlases (Myriad QA pairs) and process‑reward verification models to ground and audit each reasoning step, enabling reliable multimodal decision‑making for tasks such as molecular tumor boards and 3D radiology analysis.","Constructed Myriad, a 6 M QA pair knowledge base derived from peer‑reviewed literature, improving retrieval‑augmented generation (RAG) performance on MedExpertQA. | Developed a process‑reward model that checks individual reasoning steps of a language model against guidelines, reducing hallucinations across multiple downstream medical tasks. | Demonstrated an agent that performs step‑wise 3D chest CT analysis with traceable reasoning, achieving higher fidelity than baseline LLMs.",0,0,0,,,,
from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi::davisson::1,from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi,Overview of the Cancer Research Data Commons infrastructure and usage statistics,Tania Davisson,"National Cancer Institute Center for Biomedical Informatics and Information Technology, Chief of Data Ecosystems Branch",academic_pi,,unspecified,platform_technology; basic_science; translational,platform_technology,"The CRDC provides a unified, cloud-based platform that aggregates genomic, proteomic, imaging, clinical, and other data types across seven specialized data commons, enabling standardized access, harmonized metadata, and scalable analysis without requiring data download.","CRDC hosts 533 studies covering over 200,000 subjects and 17 petabytes of data. | Since inception, the cloud resource has performed over 1,600 compute years and offers more than 1,200 public analysis tools. | User engagement includes 100,000 monthly users and 47,000 PubMed citations referencing CRDC data.",0,7,0,studies represented,533,,
from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi::jagu::2,from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi,"CCDI Data Ecosystem: resources, enrollment, and data integration",Subhashini Jagu,"National Cancer Institute Office of Data Sharing, Branch Chief",academic_pi,,unspecified,platform_technology; clinical_trial; translational,platform_technology,"CCDI aggregates pediatric cancer clinical, genomic, and imaging data through a unified data model and APIs, enabling cohort building, cross‑resource queries, and rapid molecular characterization (results returned within 21 days) for over 9,000 enrolled patients.","CCDI ecosystem currently includes 41 datasets, including Childhood Cancer Survival Study and Pediatric MATCH. | Project Every Child has enrolled >9,000 patients, delivering molecular characterization results within 21 days. | 6,000 patients' molecular data from MCI have been released in cBioPortal, with integrated SNV and methylation widgets. | Over 4,000 pathology images are available in the Imaging Data Commons, with AI‑ready processing by DOE.",0,4,0,patients enrolled,"9,000+",,pediatric and AYA cancer patients on Project Every Child
from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi::kim::3,from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi,ARPA‑H Biomedical Data Fabric Toolbox integration with CRDC,Erica Kim,National Cancer Institute Center for Biomedical Informatics and IT; ARPA‑H Program Officer,industry_presenter,,unspecified,platform_technology; AI_ML; data_management,platform_technology,"The BDF Toolbox develops AI‑assisted tools (e.g., Netrius DataCord for metadata harmonization, Data Gatherer for literature‑linked dataset extraction, AI chatbots for data exploration) that integrate with CRDC APIs to automate data submission, curation, and discovery, reducing manual effort and improving data readiness for analysis.","Netrius DataCord AI‑driven curation platform achieved ≥90% reduction in manual curation time in pilot deployments. | Data Gatherer combines rule‑based and LLM methods to extract dataset metadata from publications, enhancing discoverability. | BioInsight AI chatbot enables plain‑language queries across CRDC genomic, proteomic, and imaging resources.",0,1,0,data curation time reduction,90% reduction,,real‑world use cases with Netrius tool
from-mechanisms-to-real-world-evidence-the-emerging-role-of-glp-1-receptor-agoni::ligibel::1,from-mechanisms-to-real-world-evidence-the-emerging-role-of-glp-1-receptor-agoni,Obesity as a modifiable risk factor for cancer incidence and outcomes,Jennifer Ligibel,"Dana-Farber Cancer Institute, Harvard",academic_pi,breast cancer; colorectal cancer; pancreatic cancer; prostate cancer; endometrial cancer,unspecified,clinical_trial; biomarker_development; other,clinical_validation_of_known,"Excess adiposity drives systemic metabolic dysregulation (hyperinsulinemia, hyperleptinemia, inflammation) that increases incidence and worsens outcomes across multiple malignancies; intentional weight loss via bariatric surgery or structured lifestyle programs reverses these metabolic perturbations and reduces cancer risk and recurrence, particularly in breast cancer, by lowering insulin, leptin, and inflammatory markers.","Each 5 kg/m² increase in BMI raises post‑menopausal breast cancer risk by ~10% (IARC meta‑analysis). | Obesity at cancer diagnosis is associated with >20% higher breast cancer‑specific mortality across 36 studies. | Bariatric surgery reduces overall cancer incidence by ~40% and obesity‑related cancers (breast ~50% reduction, colorectal ~60% reduction). | In the Breast Cancer Weight Loss Trial, the lifestyle intervention achieved a mean 6% weight loss at 1 yr, with 50% of participants losing ≥5% body weight versus 12% in controls. | Weight loss lowered fasting insulin by 21% and reduced HOMA‑IR by 25% at 6 mo, indicating reversal of insulin resistance. | Metabolic improvements (insulin, leptin, CRP) were observed without yet having invasive disease‑free survival data, which are pending.",0,7,0,breast cancer risk per 5 kg/m² BMI increase,10% increase,"n=1,000+ studies",post‑menopausal women
from-mechanisms-to-real-world-evidence-the-emerging-role-of-glp-1-receptor-agoni::hursting::2,from-mechanisms-to-real-world-evidence-the-emerging-role-of-glp-1-receptor-agoni,"Preclinical mechanisms of GLP‑1/GIP dual agonist tirzepatide in obesity‑driven breast, colon and endometrial cancer",Steve Hursting,"Lineberger Comprehensive Cancer Center, UNC Chapel Hill",academic_pi,breast cancer; colorectal cancer; endometrial cancer,preclinical,immunotherapy; metabolism; tumor_microenvironment; combination_therapy; basic_science,first_in_class,"Tirzepatide induces ~20% body‑weight loss in diet‑induced obese mice, normalizing hyperglycemia, hyperinsulinemia and hyperleptinemia; this metabolic reprogramming restores CD8⁺ T‑cell activation and antigen‑presenting cell function, reverses obesity‑driven immunosuppression, and consequently reduces tumor growth in breast, colon and endometrial cancer models, an effect that is abolished by CD8⁺ T‑cell depletion, indicating a T‑cell‑dependent mechanism.","Tirzepatide achieved ~20% weight loss in obese C57BL/6 mice, matching human clinical trial outcomes. | Obesity‑driven tumor growth in EO771, MC38 and PY230 models was reduced to lean‑control levels by tirzepatide; pair‑feeding reproduced most of the effect, indicating weight‑loss as the primary driver. | In the LKB1/p53‑deficient endometrial model, tirzepatide reduced tumor burden even in non‑obese mice, suggesting additional metabolic effects. | Obesity suppressed CD8⁺ T‑cell activation (naive markers TCF7, CCR7) and antigen‑presentation gene sets (18/18); tirzepatide fully restored activated phenotypes (granzyme B, PD‑1) and antigen‑presentation scores. | CD8⁺ T‑cell depletion abolished tirzepatide’s anti‑tumor effect, confirming T‑cell dependence. | Tirzepatide did not affect cancer cell proliferation in vitro, consistent with low GLP‑1R/GIPR expression in human cancer cell lines. | Gut microbiome analysis showed tirzepatide enriched butyrate‑producing bacteria, potentially contributing to reduced inflammation.",2,0,2,,,,
