talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
addressing-cancer-mortality-in-areas-of-persistent-poverty::tamimi::2,Rula Tamimi,"Weill Cornell Medicine, New York City",addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,STEM Day satisfaction,95% reported learning something new,,n=not specified,Cares For You participants,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::tamimi::2,Rula Tamimi,"Weill Cornell Medicine, New York City",addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Patient portal enrollment post‑implementation,61%,,n=not specified,patients at two intervention FQHC sites,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::tamimi::2,Rula Tamimi,"Weill Cornell Medicine, New York City",addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Colorectal cancer screening rate increase (CDC grant),36% to 43%,,n=not specified,CHC patients receiving screening vouchers,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::bondy::3,Melissa Bondy,Stanford University,addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Guaranteed Income participants,"3,000",,"n=3,000",California residents eligible for state pilot,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::bondy::3,Melissa Bondy,Stanford University,addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Pregnant women enrolled,"2,200",,"n=2,200",Pregnant participants in guaranteed income pilot,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::bondy::3,Melissa Bondy,Stanford University,addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Foster youth enrolled,800,,n=800,Aging‑out foster youth in guaranteed income pilot,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::bondy::3,Melissa Bondy,Stanford University,addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Survey response rate,75%,,n=not specified,Guaranteed Income participants surveyed at multiple time points,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,objective response rate,33.3%,,n=3,Version 2 cohort,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,disease control rate,66.7%,,n=3,Version 2 cohort,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,objective response rate,15%,,n=4,Version 3 cohort,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,disease control rate,75%,,n=4,Version 3 cohort,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,grade ≥3 CRS,42.9%,,n=7,all treated patients,,interim
adoptive-t-cell-therapy::qi::1,Changsong Qi,Peking University Cancer Hospital,adoptive-t-cell-therapy,hepatocellular carcinoma; gastric cancer,phase_1,grade 2 ICANS,14.3%,,n=7,all treated patients,,interim
adoptive-t-cell-therapy::yang::2,Qilong Yang,Tianjin Medical University Cancer Hospital,adoptive-t-cell-therapy,acral melanoma,phase_2,disease control rate,75%,,n=4,acral melanoma TIL trial,,interim
adoptive-t-cell-therapy::heiteneider::4,Sabine Heiteneider,Stanford University,adoptive-t-cell-therapy,medulloblastoma; neuroblastoma,phase_1,dose‑limiting toxicity,none observed (max grade 2 neurotoxicity),,n=4 patients,GPC2‑positive CNS embryonal tumors,,interim
adoptive-t-cell-therapy::bassar::5,Rafet Bassar,MD Anderson Cancer Center,adoptive-t-cell-therapy,multiple myeloma; sarcoma; melanoma; AML,phase_1,complete remission duration,2 years ongoing,,n=1 patient,"NY-ESO-1 positive multiple myeloma, heavily pretreated",,interim
adoptive-t-cell-therapy::bassar::5,Rafet Bassar,MD Anderson Cancer Center,adoptive-t-cell-therapy,multiple myeloma; sarcoma; melanoma; AML,phase_1,grade ≥3 CRS,none reported,,n=5 patients,NK TCR trial,,interim
adoptive-t-cell-therapy::arnett::7,Aslan Arnett,Baylor College of Medicine,adoptive-t-cell-therapy,hepatocellular carcinoma,phase_1,peak CAR T cell expansion,14.7 billion cells,,n=1 patient,IL-15 armored GPC3 CAR T recipient,,interim
adoptive-t-cell-therapy::arnett::7,Aslan Arnett,Baylor College of Medicine,adoptive-t-cell-therapy,hepatocellular carcinoma,phase_1,grade 3 CRS,1 patient,,n=1,IL-15 armored GPC3 CAR T trial,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hart::2,Felix Hart,Merck,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 1),ovarian cancer; head and neck cancer; pancreatic cancer; NSCLC; TNBC; gastric cancer,phase_1,preclinical regression,17 models,,not specified,Various PDX models,,preclinical
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hart::2,Felix Hart,Merck,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 1),ovarian cancer; head and neck cancer; pancreatic cancer; NSCLC; TNBC; gastric cancer,phase_1,complete regression,8 models,,not specified,Various PDX models,,preclinical
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::specified::5,Not specified,White Hawk Therapeutics,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),ovarian cancer; endometrial cancer; pancreatic cancer; lung cancer,phase_1,ORR,14% to 42%,,not specified,Genentech MUC16-targeting ADCs,,updated
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::specified::5,Not specified,White Hawk Therapeutics,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),ovarian cancer; endometrial cancer; pancreatic cancer; lung cancer,phase_1,maximum_non_severely_toxic_dose,60 mg/kg,,not specified,NHP,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::specified::5,Not specified,White Hawk Therapeutics,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),ovarian cancer; endometrial cancer; pancreatic cancer; lung cancer,phase_1,free_payload_release_AUC,<0.01%,,not specified,NHP,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::specified::5,Not specified,White Hawk Therapeutics,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),ovarian cancer; endometrial cancer; pancreatic cancer; lung cancer,phase_1,half_life,10 to 13 days,,not specified,NHP,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,ORR,64%,,n=70 models,MCT overall,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,DCR,90%,,n=70 models,MCT overall,,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,ORR,57%,,not specified,Head and Neck,vs 38% for TF-MMAE benchmark,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,median_PFS,45 days,,not specified,Head and Neck,vs 27 days for TF-MMAE benchmark,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,ORR,70%,,not specified,Pancreatic,vs 50% for TF-MMAE benchmark,interim
advanced-antibody-conjugate-and-targeted-therapeutic-platforms::hernandez::7,Janive Hernandez,Sutro Biopharma,Advanced Antibody Conjugate and Targeted Therapeutic Platforms (Part 2),head and neck cancer; NSCLC; pancreatic cancer; colorectal cancer; cervical cancer,phase_1,maximum_tolerated_dose,50 mg/kg,,not specified,NHP,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,Patients screened,54,,n=54 screened,all screened,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,Eligible patients,19,,n=19 eligible,screened,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,Treated patients,7,,n=7 treated,eligible,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,Best response,stable disease,,n=3 with SD,treated,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,CRS grade,low-grade,,n=7,treated,,interim
advanced-cellular-and-immune-based-therapeutics::chu::1,Joan Chu,"Singapore, former MSK",advanced-cellular-and-immune-based-therapeutics,esophageal adenocarcinoma; gastric adenocarcinoma,phase_1,Grade 3/4 toxicities,none dose-limiting,,n=7,treated,,interim
advanced-cellular-and-immune-based-therapeutics::qi::2,Changsong Qi,Peking University Cancer Hospital 2,advanced-cellular-and-immune-based-therapeutics,peritoneal mesothelioma; pancreatic cancer; cholangiocarcinoma; ovarian cancer; lung adenocarcinoma,phase_1,Patients treated,9,,n=9,treated,,interim
advanced-cellular-and-immune-based-therapeutics::qi::2,Changsong Qi,Peking University Cancer Hospital 2,advanced-cellular-and-immune-based-therapeutics,peritoneal mesothelioma; pancreatic cancer; cholangiocarcinoma; ovarian cancer; lung adenocarcinoma,phase_1,Objective response rate,28.6%,,n=7 evaluable,treated,,interim
advanced-cellular-and-immune-based-therapeutics::qi::2,Changsong Qi,Peking University Cancer Hospital 2,advanced-cellular-and-immune-based-therapeutics,peritoneal mesothelioma; pancreatic cancer; cholangiocarcinoma; ovarian cancer; lung adenocarcinoma,phase_1,Disease control rate,57.1%,,n=7 evaluable,treated,,interim
advanced-cellular-and-immune-based-therapeutics::qi::2,Changsong Qi,Peking University Cancer Hospital 2,advanced-cellular-and-immune-based-therapeutics,peritoneal mesothelioma; pancreatic cancer; cholangiocarcinoma; ovarian cancer; lung adenocarcinoma,phase_1,Grade ≥3 CRS,1 patient,,n=9,treated,,interim
advanced-cellular-and-immune-based-therapeutics::qi::2,Changsong Qi,Peking University Cancer Hospital 2,advanced-cellular-and-immune-based-therapeutics,peritoneal mesothelioma; pancreatic cancer; cholangiocarcinoma; ovarian cancer; lung adenocarcinoma,phase_1,Progression‑free survival >12 months,1 patient,,n=9,treated,,interim
advanced-cellular-and-immune-based-therapeutics::amaria::3,Rhodabe Amaria,MD Anderson Cancer Center,advanced-cellular-and-immune-based-therapeutics,metastatic melanoma,phase_1,Patients treated,12,,n=12,treated,,interim
advanced-cellular-and-immune-based-therapeutics::amaria::3,Rhodabe Amaria,MD Anderson Cancer Center,advanced-cellular-and-immune-based-therapeutics,metastatic melanoma,phase_1,ORR,33%,,n=12,treated,,interim
advanced-cellular-and-immune-based-therapeutics::amaria::3,Rhodabe Amaria,MD Anderson Cancer Center,advanced-cellular-and-immune-based-therapeutics,metastatic melanoma,phase_1,Complete response duration,≥12 months,,n=1,high‑dose cohort,,interim
advanced-cellular-and-immune-based-therapeutics::amaria::3,Rhodabe Amaria,MD Anderson Cancer Center,advanced-cellular-and-immune-based-therapeutics,metastatic melanoma,phase_1,Adverse events,no grade ≥3 CRS or ICANS,,n=12,treated,,interim
advanced-cellular-and-immune-based-therapeutics::nathan::4,Paul Nathan,IMC (Immunocore),advanced-cellular-and-immune-based-therapeutics,uveal melanoma,phase_3,Overall survival hazard ratio,0.67,95% CI 0.53‑0.85,n≈378,all randomized,investigator's choice,primary_endpoint_met
advanced-cellular-and-immune-based-therapeutics::nathan::4,Paul Nathan,IMC (Immunocore),advanced-cellular-and-immune-based-therapeutics,uveal melanoma,phase_3,5‑year OS rate,16% vs 8% control,,n≈378,all randomized,investigator's choice,updated
advanced-cellular-and-immune-based-therapeutics::nathan::4,Paul Nathan,IMC (Immunocore),advanced-cellular-and-immune-based-therapeutics,uveal melanoma,phase_3,Disease control rate,46% vs 27%,,n≈378,treated,investigator's choice,primary_endpoint_met
advanced-cellular-and-immune-based-therapeutics::nathan::4,Paul Nathan,IMC (Immunocore),advanced-cellular-and-immune-based-therapeutics,uveal melanoma,phase_3,ctDNA molecular response (≥50% reduction),81% of ctDNA‑positive patients,,n=61% of cohort,baseline ctDNA‑positive,,exploratory
advanced-cellular-and-immune-based-therapeutics::kim::5,Yoonjun Kim,Seoul National University Hospital,advanced-cellular-and-immune-based-therapeutics,hepatocellular carcinoma,phase_1_2,Objective response rate (RECIST 1.1),40%,,n=15,all treated,,interim
advanced-cellular-and-immune-based-therapeutics::kim::5,Yoonjun Kim,Seoul National University Hospital,advanced-cellular-and-immune-based-therapeutics,hepatocellular carcinoma,phase_1_2,Objective response rate (mRECIST),61.5%,,n=15,all treated,,interim
advanced-cellular-and-immune-based-therapeutics::kim::5,Yoonjun Kim,Seoul National University Hospital,advanced-cellular-and-immune-based-therapeutics,hepatocellular carcinoma,phase_1_2,Grade ≥3 treatment‑related adverse events,53%,,n=15,treated,,interim
advanced-cellular-and-immune-based-therapeutics::kim::5,Yoonjun Kim,Seoul National University Hospital,advanced-cellular-and-immune-based-therapeutics,hepatocellular carcinoma,phase_1_2,Dose‑limiting toxicities,none,,n=15,treated,,interim
advanced-cellular-and-immune-based-therapeutics::laskog::6,Angelica Laskog,Baylor College of Medicine,advanced-cellular-and-immune-based-therapeutics,pancreatic adenocarcinoma,phase_1_2,Overall response rate (arm 2),38%,,n=24,treated,,interim
